Manuscript,coteString,
http://rdfh.ch/0112/cmQ5IzfvT_iIC1_8v95GYA,MS 4 C/14a,
http://rdfh.ch/0112/6Z4SqQZUQj2oqJiNXnJ3vQ,MS 1 H1/5a,
http://rdfh.ch/0112/3bf_CjgZSMeoB4YtSuve0w,MS 1 H1/6a,
http://rdfh.ch/0112/_E-DqRPFTruVM1PxJYHjQA,MS 1 H1/6c,
http://rdfh.ch/0112/GID6olreTSmOcF36XBqZug,MS 1 H1/6e,
http://rdfh.ch/0112/ityM1mgMTPO_6rGqxteJ-A,MS 1 H1/6f,
http://rdfh.ch/0112/QDqC2ENaQQ2omJueNErtOQ,MS 1 H2/1a,
http://rdfh.ch/0112/L41Mspy5TBaW9_2efd7mnQ,MS 1 H2/2a,
http://rdfh.ch/0112/Q0yzPCybQ6m-RKIO-8toZg,MS 1 H2/2b,
http://rdfh.ch/0112/7ZadSekgRmqwbQCD4HVoTQ,MS 1 H2/2c,
http://rdfh.ch/0112/HA-5vXSvRdCfreloB9w8hg,MS 1 H2/2d,
http://rdfh.ch/0112/nubrUADhTdygSdX5P4BM8w,MS 1 H2/2e,
http://rdfh.ch/0112/visttUpBRv68M7pLk6cfIw,MS 1 H2/3a,
http://rdfh.ch/0112/KQrCOEQkSCeYKEhuF-PH0g,MS 1 H2/4a,
http://rdfh.ch/0112/kGf1ARXtSq2FqU3G8ObysQ,MS 1 H2/4a,
http://rdfh.ch/0112/nhRwo4pwQFWCsRSHDTjMhQ,MS 1 H2/4a,
http://rdfh.ch/0112/PsztlbNYRniNkicJsrbvsA,MS 1 H2/4a,
http://rdfh.ch/0112/xx1KWnQISTGod7eqyZuNtA,MS 1 H2/4b,
http://rdfh.ch/0112/6EwRXzs1Sxy2hoDkjm5qeg,MS 1 H2/4c,
http://rdfh.ch/0112/znXoGTWlR0Caaabvzo5qow,MS 1 H2/5a,
http://rdfh.ch/0112/K4_bni12Sz2uvy92I3PPCg,MS 1 H2/5b,
http://rdfh.ch/0112/sMhZGF23R8alZX1hHyOYZw,MS 1 H2/5c,
http://rdfh.ch/0112/8lKTBCzSSA6WxYggd1G_Ow,MS 1 H2/5d,
http://rdfh.ch/0112/RXM5cKkUQnKlSh37ov1RqA,MS 1 H2/5e,
http://rdfh.ch/0112/ZC18xFIGQ7GqZBjMfeoPJA,MS 1 H2/5f,
http://rdfh.ch/0112/yqshrCy5RauA_CSqyVe__w,MS 1 H2/5g,
http://rdfh.ch/0112/MaRVj9UWRq6l3a3VJVaH6g,MS 1 H2/5a,
http://rdfh.ch/0112/xqSoWv6nQk-lyFP1J-hShw,MS 1 H2/6a,
http://rdfh.ch/0112/tvYQlcXaSM2E5kwzN5hHDw,MS 1 H2/6b,
http://rdfh.ch/0112/f3xeMFtTQySPAu2ZVdtzGw,MS 1 H2/11a,
http://rdfh.ch/0112/YTsvrjHzSo2LdzXcVDbsDw,MS 1 H2/6c,
http://rdfh.ch/0112/5OUgBcuVTjOrHR-jsYDsDg,MS 1 H2/5g,
http://rdfh.ch/0112/VVz0lizST--M9RTmAbUaKA,MS 1 H2/7a,
http://rdfh.ch/0112/oc0i6KmiRGakFuYcaDSExA,MS 1 H2/7b,
http://rdfh.ch/0112/8iS4yGf4TXahgnPsGiYAwQ,MS 1 H2/7c,
http://rdfh.ch/0112/T_WuRLidTe-9HJRk1D7YYg,MS 1 H2/7d,
http://rdfh.ch/0112/P2jqiuylS8GUIhBoahxnfQ,MS 1 H2/7e,
http://rdfh.ch/0112/pWULIvN7QOisr53zgVMmGg,MS 1 H2/7f,
http://rdfh.ch/0112/pjltrE6qRyuvDr2naz02JA,MS 1 H2/7f,
http://rdfh.ch/0112/i9YguxOIQKSj63Hf_53nMw,MS 1 H2/9a,
http://rdfh.ch/0112/O3wAAxonQY6zRQgWkFdCRA,MS 1 H2/9a,
http://rdfh.ch/0112/YCBMwaaOQt6cbNvljVQkJw,MS 1 H2/7g,
http://rdfh.ch/0112/m8BtdlH7RDOhlCWzhkI14w,MS 1 H2/7h,
http://rdfh.ch/0112/Pb9V3qLYQUSICJc6gJd6fA,MS 1 H2/8a,
http://rdfh.ch/0112/OTR2nRCNTTyWc3s74bSjyg,MS 1 H2/8b,
